;Job Title;min_salary;max_salary;Rating;Company Name;python;excel;hadoop;spark;aws;tableau;big_data
121;Sr. ML/Data Scientist - AI/NLP/Chatbot;99;132;3.8;Juniper Networks;1;1;0;1;1;0;0
122;Data Scientist;90;109;4.7;1904labs;1;0;0;1;0;0;0
123;DATA SCIENTIST;90;109;3.6;XSELL Technologies;1;0;0;0;0;0;0
124;Data Engineer;90;109;4.2;IZEA;1;1;1;1;1;0;0
125;Sr. ML/Data Scientist - AI/NLP/Chatbot;90;109;3.8;Juniper Networks;1;1;0;1;1;0;0
126;Data Scientist;90;109;5.0;Notion Labs;0;0;0;0;0;0;0
127;Senior Data Engineer;90;109;4.9;Lendio;1;0;1;1;1;0;1
128;Data Engineer;90;109;4.4;Direct Agents;1;1;0;0;0;0;0
129;Data Scientist;90;109;3.3;NAVEX Global;1;0;0;1;0;1;0
130;Senior Data Engineer;90;109;4.9;Lendio;1;0;1;1;1;0;1
131;Data Scientist;90;109;4.2;Upstart;1;0;0;0;0;0;0
132;Data Analyst;90;109;4.5;Envision LLC;1;0;1;1;0;1;1
133;Data Engineer;90;109;4.8;AppLovin;0;1;1;1;0;0;1
134;Data Integration and Modeling Engineer;90;109;3.8;ISO New England;0;1;0;0;0;0;0
135;Tableau Data Engineer 20-0117;90;109;5.7;Relativity;0;1;0;1;0;1;0
136;Senior Data Scientist;90;109;3.3;Tempo Automation;1;0;1;1;1;1;1
137;AI Data Scientist;90;109;3.3;MITRE;1;0;0;0;0;0;0
138;Machine Learning Engineer;90;109;5.0;Expedition Technology, Inc.;1;1;0;0;0;0;0
139;Research Scientist Patient Preferences (Remote);90;109;3.8;Evidera;0;1;0;0;0;0;0
140;Data Scientist;90;109;3.4;Plymouth Rock Assurance;0;1;0;0;0;0;0
141;Scientist - Biomarker and Flow Cytometry;90;109;2.4;Crown Bioscience;0;0;0;0;0;0;0
142;DATA SCIENTIST;90;109;2.9;GNS Healthcare;0;0;0;0;1;0;1
143;Analytics Manager;90;109;4.4;OneMagnify;0;1;0;0;0;1;0
